delta,tetha,alpha,beta,gamma,class
0.19077595768102396,0.058922721537231694,0.12936292982808242,0.029849465181608387,0.012988741221210418,1
0.1823176832552325,0.0959670597629486,0.11075206610575328,0.04969272060425686,0.04689060079242295,1
0.18326864012677224,0.07951200473522478,0.1165407969963125,0.048884515931351645,0.049780696413573404,1
0.35145012111924995,0.06677316105284817,0.07214863346055969,0.030012096877862493,0.021886339946876474,1
0.24253599351864646,0.10154836663806481,0.17417277748789625,0.04788996589169038,0.026309502504862158,1
0.14895704163701165,0.07254916484608365,0.09331385430195384,0.04278871602969178,0.03967562215924133,1
0.21108093314616247,0.10505401050935227,0.1371458510301313,0.048901857083469356,0.040938274229057756,1
0.18860097296357653,0.06373902170250476,0.1379545695215931,0.03193176251701863,0.01447945435189852,1
0.06715445744845093,0.02731000172526345,0.038903445350191815,0.01674478378431794,0.009254041595085532,1
0.1485798005359792,0.0900548946359901,0.2242448276011247,0.04434381846679583,0.018261265674641952,1
0.17048223744829372,0.07282558005370329,0.09909254835402392,0.038399020267023055,0.03501701882535113,1
0.18383509014030838,0.07662636213854075,0.07862733234454607,0.047371044717885474,0.048559811118717815,1
0.37197549824842635,0.07607983225949465,0.0778033971291685,0.03394311192099812,0.026329771559577223,1
0.14849800639237373,0.09039867805365018,0.17099958283080746,0.03993555153655897,0.0183107710639357,1
0.1998766785468684,0.10913316483361651,0.20109319244407647,0.052738534611290154,0.030788527766996296,1
0.16762751681958016,0.09892919892048428,0.1890946108919289,0.04560574442462495,0.02100184364746642,1
0.1340154450185936,0.07589951921127971,0.1582936805360596,0.0368957603316767,0.016611455202553915,1
0.11813808348982324,0.030982591578498496,0.03604851875930125,0.017402092814197554,0.011459563533253784,1
0.14126037587528378,0.08805363175880584,0.19855578406018662,0.04618708888949317,0.01848933574790109,1
0.08742819050110408,0.03474450659423969,0.050380243118626725,0.01827863551555329,0.014479808438023208,1
0.100885884688964,0.03982581574915123,0.050565276457377385,0.022655879595769604,0.0195413421674164,1
0.16564806676428526,0.067526650022896,0.15262731272278132,0.0692763146153717,0.014806860383958372,1
0.3908672823686614,0.14539777772683266,0.17095072512276546,0.08939357351466132,0.023927244401923002,1
0.21042406174729386,0.12164996159537345,0.1569299812553007,0.07587858870717253,0.0336165489376714,1
0.4113487895556275,0.0993467459389772,0.1255806777787859,0.08362624131531492,0.025515295262992448,1
0.27296692575306825,0.1302775347712923,0.19573343749312108,0.08665962433385005,0.026750654263088786,1
0.12180836384315621,0.0736652161859871,0.1398438947556974,0.0790883971112811,0.017212062156919283,1
0.22577910701993542,0.1285877310190155,0.2025166825806629,0.08949166941852843,0.027945113016395944,1
0.13490914944734517,0.07236409000168617,0.1585007223566187,0.07227940544079273,0.01639229510607953,1
0.06849342544123097,0.029976680143307087,0.05138337239148891,0.03642094561635326,0.007684994675442245,1
0.9507188701124545,0.11302922634587516,0.24811554294689164,0.09186784790169641,0.022817920422951346,1
0.3285026382746603,0.13028666141035292,0.1346711568002678,0.07882787481378516,0.021421161182725558,1
0.18622434041353664,0.07646990620796232,0.11466381464963679,0.0793368988678843,0.017160258400617585,1
0.4903467059538997,0.11508984038759164,0.14245898331235385,0.08786768093184898,0.02366442280763327,1
0.1928253959622253,0.11390364063704309,0.23670129219894723,0.08534198426463274,0.02401046889634796,1
0.27914390832649044,0.14352216088093614,0.21299509051343096,0.0924238801759584,0.03018159365050652,1
0.2228426046954379,0.13109466927933036,0.2908050059760752,0.09628702983714753,0.027576165942420506,1
0.2237579483546604,0.09939980552384078,0.21484704194091223,0.09049082831510477,0.020075214553469025,1
0.13623704075373388,0.055066386801371825,0.08640609375326153,0.06319866837834488,0.013269193490810351,1
0.6151050785201744,0.12408724679038147,0.2930213109888745,0.09953089703690371,0.026046084244423163,1
0.06752705873652043,0.03661785355070099,0.06231305443979012,0.03902038513912339,0.008666409560327703,1
0.1509766699261306,0.0625502638515194,0.0807214667241361,0.06525407232677512,0.01465513510731536,1
0.07637404377168594,0.03921425082296013,0.03385526684303907,0.010469887223801752,0.0038313923061409298,1
0.3859864820568521,0.1418383844443057,0.1222438634577548,0.04600618902423186,0.03663423535879169,1
0.34462876965576933,0.1573835533971307,0.11867607669981564,0.04681870045266329,0.04073985489321234,1
0.44611801598657763,0.14187283067147688,0.13445691341780247,0.056878803891405906,0.04023419954385512,1
0.29080478808404386,0.18248929039444067,0.13063872229882093,0.044519657988112665,0.021929352302913166,1
0.14686308348797592,0.08246330894915754,0.0838582194506928,0.0244099778807455,0.015237612749305787,1
0.24518667829252036,0.13895215505616532,0.11304119385630652,0.04077550138602198,0.028724619292785768,1
0.12092709259050238,0.07677507530782605,0.06935105326236393,0.019467829205704973,0.007546839185394547,1
0.10203382902941105,0.05007656333316391,0.04403933445357412,0.01317707202204466,0.004642692884240361,1
0.22485224981226318,0.11332132170164291,0.09266273622435414,0.026826171553789167,0.009075282101806555,1
0.46780183789409824,0.15861188849825955,0.12987364043804744,0.043281857318541735,0.029223707828432945,1
